# in_press_x,in_press_y,in_target_x,in_target_y,in_flow_x,in_flow_y,in_importance,in_crowdedness,out_grow_x,out_grow_y,out_prune_x,out_prune_y,out_shift_x,out_shift_y,out_apoptosis
-0.069927,-0.516602,-0.701558,0.712613,-0.775824,0.959622,0.803883,0.38752,-0.520187,0.580145,0.435592,-0.774639,-0.462666,0.918251,-1.0
0.785587,0.4267,-0.900093,-0.435699,-0.679127,0.052008,0.208633,0.233067,-0.957476,0.099605,1.0,0.075416,-1.0,-0.065041,-1.0
-0.728251,-0.384407,0.630801,-0.775945,0.648526,-0.742305,0.267096,0.390594,0.200887,-1.0,-0.980237,0.540951,1.0,0.070772,-1.0
0.848076,-0.137291,-0.915859,0.401499,0.52215,0.903256,0.935582,0.711676,0.334922,1.0,-0.067706,-0.920953,-0.62688,0.983019,-0.686322
-0.122664,0.251932,-0.90714,-0.420829,-0.948509,0.221832,0.406975,0.159392,-1.0,0.447367,1.0,0.284474,-0.475177,-0.311316,-0.887411
-0.611827,-0.022281,0.735815,-0.677182,-0.370023,-0.585017,0.768731,0.451532,-0.453974,-0.987519,-0.222436,1.0,0.416479,-1.0,-0.931863
0.510275,-0.117574,-0.909748,0.41516,0.929387,-0.017765,0.112715,0.573142,0.688484,-0.214157,-0.980386,-0.116415,0.606793,0.530073,-1.0
-0.304615,-0.503639,-0.974337,-0.225096,-0.481773,0.852885,0.531339,0.097001,-0.919556,1.0,0.326415,-1.0,0.157823,1.0,-0.894937
0.59023,0.319529,-0.982515,0.186181,0.669496,0.685871,0.653313,0.559291,0.760435,0.876393,-0.554188,-0.699202,-0.867087,0.887553,-1.0
-0.167305,0.731585,-0.897518,0.440978,0.495406,0.90414,0.228259,0.476528,0.556916,1.0,-0.538515,-0.507646,0.698262,-0.040395,-0.880349
-0.006551,-0.109608,-0.36772,-0.929937,-0.899779,-0.03761,0.683546,0.075133,-0.921047,-0.074008,0.719937,0.233923,-0.90747,0.19703,-0.78504
-0.412463,0.714765,-0.361983,0.932185,0.666618,0.69633,0.183,0.637484,0.517151,0.992631,-0.991964,-0.266704,0.701619,-0.173203,-1.0
0.943401,0.05806,0.582267,0.812998,-0.696069,-0.209077,0.17684,0.088981,-1.0,-0.335491,0.896642,0.111033,-0.915991,0.043566,-1.0
-0.976636,-0.067066,-0.953358,0.301842,-0.451152,-0.317278,0.129199,0.76251,-0.420013,-0.19288,-0.654034,1.0,0.840722,-0.202546,-0.829038
-0.161486,-0.883979,0.559277,0.828981,0.983329,0.233806,0.249813,0.728031,1.0,0.398441,-0.734452,-0.795217,0.703614,0.831784,-0.972686
-0.035488,0.912899,-0.570395,-0.821371,-0.863103,-0.752776,0.296153,0.868854,-0.567813,-0.604859,0.457467,0.955799,-0.336016,-1.0,-1.0
-0.100387,-0.602029,-0.530716,-0.84755,0.282677,-0.396823,0.555953,0.614008,0.432078,-0.81536,-0.664959,0.157249,0.626753,0.960708,-1.0
0.978028,0.275526,0.965269,-0.261257,-0.757381,0.481495,0.920284,0.76941,-1.0,0.506364,1.0,-0.46914,-0.80557,-0.239399,-1.0
-0.137843,0.225348,-0.032618,-0.999468,0.761721,-0.119276,0.114024,0.459736,0.952916,0.10559,-0.890431,0.295886,0.794807,-0.470127,-0.998556
0.993231,-0.570576,0.926434,0.376456,0.44243,0.469329,0.35356,0.650848,0.869681,0.866736,0.176445,-0.956026,-0.749534,1.0,-1.0
-0.319361,0.205387,-0.932022,-0.362403,0.950786,-0.333273,0.742267,0.854622,0.725155,-0.381294,-0.821985,0.281832,0.944879,-0.554609,-0.825936
0.200136,-0.451623,0.856047,0.516898,0.737076,-0.156901,0.565876,0.223151,1.0,-0.056546,-1.0,-0.416508,0.921827,0.671317,-1.0
-0.653783,0.72431,-0.965511,-0.260361,0.969962,0.666774,0.407758,0.563382,0.833125,0.405485,-0.885613,-0.369612,1.0,0.016888,-1.0
-0.972936,0.393706,0.372073,-0.928204,-0.98846,-0.113523,0.572502,0.727411,-1.0,-0.141496,0.801195,0.9073,0.276424,-0.70171,-0.866042
0.013044,-0.848516,0.564981,-0.825104,0.568721,-0.978711,0.886787,0.565063,0.825074,-0.719828,-0.689648,0.612218,1.0,0.491673,-0.941669
0.528062,0.125797,-0.732037,0.681265,0.569831,-0.060122,0.748229,0.352805,0.810238,0.147906,-1.0,0.386431,-0.732313,-1.0,-1.0
-0.108974,-0.215613,-0.663543,-0.748139,-0.071622,0.857355,0.089451,0.863993,-0.360138,0.94025,0.289561,-1.0,0.337448,0.969694,-1.0
-0.687294,-0.471905,-0.819512,0.573062,0.590707,-0.119397,0.703236,0.717479,0.526493,-0.239638,-0.854313,-1.0,1.0,0.387789,-1.0
-0.283781,0.011551,0.384401,0.923166,0.145152,0.366659,0.878606,0.508211,0.336362,0.866736,-0.599034,-0.87054,0.978987,0.533073,-0.918447
0.466188,0.816193,0.976628,-0.214936,-0.692193,0.773486,0.329279,0.909427,-0.399447,0.803313,0.817946,-0.221879,-0.840047,-0.240174,-1.0
-0.611365,0.251122,-0.539887,0.841738,0.731027,-0.482938,0.020573,0.526132,0.888051,-0.211454,-1.0,0.084777,1.0,-0.384232,-0.885173
0.123809,0.902714,0.575278,-0.817958,-0.399092,-0.145687,0.84696,0.338578,-1.0,-0.853895,0.280592,1.0,-0.608916,-0.748351,-0.825433
0.838835,-0.258189,-0.928287,0.371865,-0.405353,-0.664226,0.631695,0.106799,-0.828048,-0.891735,0.881422,0.451329,-1.0,-0.451441,-1.0
0.082445,-0.91426,0.981372,-0.192115,-0.824567,0.917021,0.919516,0.141406,-0.634195,0.707331,0.213477,-1.0,-0.245447,0.592562,-0.8467
0.04066,-0.044695,0.532901,0.846178,-0.639173,0.698687,0.830174,0.93331,-0.339034,0.807364,0.469869,-0.796692,-0.440303,0.525442,-1.0
-0.984406,0.26182,0.881947,0.471349,-0.22644,0.309178,0.268506,0.171441,-0.502702,1.0,-1.0,-0.353911,1.0,-0.071954,-0.726204
0.203726,0.990854,0.814776,-0.579776,-0.100996,0.648854,0.61431,0.66605,-0.095765,0.956486,1.0,-0.055659,-0.237072,-0.734867,-0.701442
-0.536679,-0.73205,0.660018,0.75125,0.905756,-0.80291,0.862966,0.046477,0.746957,-0.732613,-1.0,-0.020874,1.0,0.298627,-0.990432
-0.496765,0.289652,0.28215,0.95937,-0.865789,0.391798,0.442754,0.258121,-1.0,0.873738,1.0,-0.476103,-1.0,-0.423881,-0.935775
0.800412,-0.440598,-0.102805,0.994702,0.485086,-0.322788,0.74145,0.115459,1.0,-0.611138,0.590668,-0.643504,-0.992058,0.421343,-1.0
-0.961184,-0.296981,0.981428,-0.191833,-0.913397,-0.109612,0.134464,0.55786,-1.0,-0.172293,0.938834,-0.130688,0.403416,0.667575,-0.790563
0.900208,0.872254,0.822953,0.56811,-0.165457,-0.568318,0.801593,0.731817,-0.226176,-0.970756,0.390047,1.0,-0.594711,-0.435193,-0.860798
0.174627,0.402847,-0.658218,-0.752827,0.888872,0.225281,0.196143,0.210624,1.0,0.452239,-1.0,0.064999,0.990922,-0.59755,-0.875282
0.418947,-0.41906,-0.103327,-0.994647,-0.436488,-0.638941,0.679906,0.602907,-0.701847,-0.802064,1.0,0.459979,-0.983544,-0.20383,-0.993198
0.525752,-0.232919,0.843239,-0.537538,0.980711,0.014504,0.597121,0.323384,1.0,-0.140288,-0.819933,0.084657,0.596855,1.0,-1.0
0.156171,-0.617271,-0.821247,-0.570573,0.936052,0.488359,0.982373,0.550737,0.79194,0.256944,-0.580182,-0.668619,0.265385,0.874334,-0.943865
0.253595,0.137856,-0.993896,-0.110319,-0.352349,-0.762872,0.807736,0.781214,-0.623418,-0.842586,0.77558,0.70745,-0.715358,-0.797506,-0.857236
-0.8835,-0.924402,-0.968832,0.247719,-0.460657,-0.913425,0.014174,0.823296,-0.980281,-1.0,-0.223865,1.0,1.0,0.707941,-1.0
-0.163151,-0.259343,0.957026,0.290001,0.091653,0.032053,0.035831,0.962431,0.760713,0.455125,-1.0,-0.867269,0.469111,0.813602,-0.926647
0.335372,-0.850625,0.983812,-0.179206,-0.874503,0.700683,0.139805,0.749751,-1.0,0.659508,1.0,-0.752152,-0.931725,1.0,-1.0
-0.511464,-0.691523,-0.999159,-0.041012,-0.12066,0.179065,0.409904,0.40804,-0.803886,0.711273,-0.006615,-0.97658,0.407772,0.546557,-1.0
0.344825,-0.856789,-0.853251,0.5215,-0.949329,0.25199,0.827277,0.608033,-0.975708,0.456308,0.812992,-0.752283,-0.560775,0.978566,-0.89402
0.375357,0.336231,-0.459038,-0.888417,-0.26527,0.478196,0.451597,0.966459,-0.760194,0.805687,0.976112,-0.157437,-1.0,-0.036728,-0.711988
0.783233,0.843967,-0.980586,-0.196088,-0.389116,-0.754934,0.089343,0.644845,-0.456114,-0.634942,0.442541,0.538942,-0.631685,-0.899142,-1.0
-0.330988,0.272432,-0.534127,0.845404,0.982172,-0.208857,0.690326,0.134787,0.952311,-0.237045,-0.975251,-0.105524,0.770635,-0.697116,-0.916342
-0.021002,0.883314,-0.283404,0.959001,0.270477,0.310966,0.159911,0.787872,0.562029,0.57076,-0.753589,0.518844,0.352361,-1.0,-0.958059
-0.867663,-0.462506,0.78044,0.62523,-0.968219,-0.063115,0.289883,0.086476,-0.772436,-0.055439,0.622321,-0.630801,0.649359,0.77826,-1.0
-0.799994,0.555651,-0.671865,0.740673,0.594446,-0.454373,0.719336,0.884641,1.0,-0.568125,-0.556271,1.0,0.50355,-0.445735,-1.0
-0.415186,0.069046,-0.984926,0.172974,0.254953,0.118581,0.862066,0.78031,0.724437,0.527244,-0.615532,-0.420106,1.0,-0.055188,-0.96815
-0.393463,-0.258314,-0.545758,-0.837943,0.020167,-0.309401,0.771422,0.794282,0.295066,-0.908521,-0.557296,0.573589,1.0,0.240362,-0.842984
-0.533892,0.321451,-0.927527,-0.373755,0.163715,0.444586,0.929386,0.241806,0.195308,0.827264,-0.75327,-0.946005,0.995183,-0.014264,-0.934125
0.69077,-0.618006,-0.146464,0.989216,-0.142379,0.63851,0.041596,0.692286,-0.334513,0.820955,0.589648,-0.863411,-0.568133,0.948417,-1.0
-0.629584,0.675783,-0.915966,0.401257,0.99508,-0.074762,0.866823,0.246375,0.955676,-0.323114,-1.0,0.335279,1.0,-0.164978,-1.0
0.969195,-0.855291,0.669428,0.742877,0.744279,-0.214944,0.778218,0.157423,1.0,-0.10346,-0.393099,-0.622924,-0.622042,0.850556,-0.775957
-0.382321,-0.592326,0.933192,0.359379,-0.904692,-0.767237,0.483657,0.934831,-0.970999,-0.743044,0.798568,0.595866,-0.906014,0.169862,-0.903307
0.169866,-0.161147,0.849046,-0.52832,0.321742,0.109434,0.367331,0.075024,1.0,-0.237647,-1.0,-0.586022,0.37107,0.896913,-1.0
0.926905,-0.286981,-0.694535,0.719458,0.82478,0.367058,0.171119,0.469368,0.83488,0.772833,-0.407259,-0.71198,-0.549454,0.594869,-0.988985
-0.28424,0.325483,0.98548,-0.169793,0.972379,-0.904388,0.777309,0.809611,0.819231,-0.354067,-0.806424,1.0,0.613478,-0.844522,-1.0
-0.222728,-0.773419,0.79911,-0.601185,0.344815,-0.416377,0.229402,0.182633,0.898101,-0.812153,-1.0,0.15677,0.395633,0.507239,-1.0
-0.064623,-0.70855,0.350544,0.936546,0.62955,-0.116969,0.757637,0.04487,1.0,0.109273,-1.0,-0.67499,0.416863,0.632902,-0.822404
0.745205,-0.924899,0.216556,0.97627,-0.27259,-0.470324,0.677189,0.073648,-0.550875,-1.0,1.0,-0.342468,-0.960935,1.0,-0.974639
-0.340997,-0.42664,-0.717418,0.696643,-0.748059,0.723134,0.685127,0.405151,-0.594028,0.766,0.692721,-0.62947,-0.157092,1.0,-0.747531
0.96171,0.191454,-0.673534,-0.739156,0.130554,0.036426,0.408184,0.247961,0.56657,-0.59187,0.842052,0.440423,-0.592018,-0.251937,-0.703227
0.966461,0.591654,0.739528,0.673126,0.439364,-0.737079,0.611,0.719446,0.789542,-0.774561,0.015035,0.844985,-0.401922,-0.866137,-1.0
-0.693642,-0.681688,0.994807,-0.101781,0.402076,0.297481,0.073484,0.25069,0.940214,0.95745,-0.971986,-0.781241,0.634263,0.867757,-1.0
-0.122071,0.956968,-0.564626,-0.825347,-0.168896,-0.8867,0.212065,0.523979,0.038509,-0.631826,-0.238625,1.0,-0.346911,-1.0,-1.0
0.329142,0.671088,0.71421,0.699932,-0.856848,0.728647,0.867476,0.535118,-0.90812,0.54951,1.0,-0.415928,-1.0,-0.257578,-0.987314
0.930158,-0.503599,-0.662423,-0.74913,-0.40367,0.383716,0.339133,0.867554,-0.889874,0.668664,0.749279,-0.762915,-0.580342,0.613858,-1.0
0.526407,-0.988023,0.745019,-0.667043,-0.73243,0.735882,0.755542,0.943866,-0.862112,0.63855,0.780499,-0.693225,-0.841735,0.946308,-0.751784
0.525169,-0.73675,-0.331678,0.943393,-0.443554,0.016391,0.352511,0.070336,-1.0,0.279581,0.922416,-0.627661,-1.0,0.769297,-1.0
0.906217,0.607217,-0.670393,0.742006,-0.836384,0.444517,0.22587,0.428449,-0.875094,0.417595,1.0,-0.35259,-1.0,-0.299319,-1.0
0.95951,-0.411696,0.91235,0.40941,0.880098,0.065187,0.801449,0.489339,1.0,-0.165545,-0.420053,-0.419184,-0.332176,1.0,-0.720613
-0.08443,-0.387761,0.489196,-0.872174,-0.753023,-0.399321,0.719442,0.553593,-0.598725,-0.344434,0.930695,0.008966,-1.0,0.38946,-1.0
0.075861,0.64142,-0.292278,-0.956333,0.277499,0.547281,0.685029,0.736364,0.253328,0.985328,-0.891448,-0.404797,0.093858,-0.88141,-1.0
-0.359235,-0.484041,0.213667,-0.976906,-0.071954,0.451992,0.522446,0.120413,-0.316074,1.0,-0.255318,-0.756662,-0.118014,0.398752,-0.955187
-0.602584,-0.482936,0.236717,-0.971579,-0.441732,-0.745122,0.665377,0.843665,-0.535328,-0.56172,-0.14207,1.0,0.75717,-0.285446,-0.707785
-0.488805,0.937389,-0.914056,0.405588,0.222626,-0.643667,0.724498,0.886049,0.293712,-0.909701,-0.461746,0.929933,0.169106,-0.931104,-1.0
-0.660564,-0.231948,0.672228,-0.740344,0.077668,0.457651,0.052398,0.053966,0.464554,0.787021,-0.727083,-0.489987,0.807522,0.303243,-1.0
-0.001501,0.648838,0.85489,-0.51881,0.472375,0.164748,0.906069,0.154089,1.0,0.321579,-0.858605,0.767518,0.388684,-0.894476,-1.0
-0.911771,0.127452,0.056619,0.998396,-0.473238,-0.582118,0.542019,0.837757,-0.965754,-0.54185,-0.23635,1.0,0.957168,-0.922156,-1.0
-0.156241,0.257769,-0.217206,-0.976126,-0.787459,0.910065,0.375174,0.272159,-0.870214,0.597332,1.0,-0.84742,-0.489062,1.0,-1.0
0.87765,0.069042,-0.904778,0.425883,0.20879,0.804136,0.947056,0.051484,-0.133808,0.622248,0.738504,-1.0,-0.730769,0.683119,-1.0
-0.640715,0.77127,-0.929306,0.36931,-0.746183,-0.128108,0.063205,0.728757,-0.889147,-0.098361,0.614665,0.934665,-0.100126,-0.936024,-1.0
