# in_press_x,in_press_y,in_target_x,in_target_y,in_flow_x,in_flow_y,in_importance,in_crowdedness,out_grow_x,out_grow_y,out_prune_x,out_prune_y,out_shift_x,out_shift_y,out_apoptosis
-0.759215,-0.754637,0.059316,-0.998239,-0.162779,-0.755702,0.258907,0.77239,-0.056926,-0.214612,-0.06704,-0.03479,0.304233,-0.07883,-1.0
-0.05471,0.284827,0.901293,-0.433211,0.06429,-0.146462,0.534279,0.289478,-0.00426,-0.05453,-0.089421,0.058559,0.108407,-0.243338,-0.95348
-0.273442,0.695762,0.890974,-0.454054,-0.85932,0.232394,0.098432,0.218878,-0.080827,-0.016685,-0.04641,0.061052,0.073114,-0.249414,-1.0
0.308453,-0.558126,0.167027,0.985952,-0.643895,-0.613567,0.108731,0.734053,-0.090257,-0.077601,0.065259,0.0114,-0.163436,0.281533,-1.0
0.473231,-0.274695,-0.023748,0.999718,-0.383346,0.713305,0.546652,0.439797,-0.241339,0.42497,0.055,-0.07266,-0.189291,0.23075,-0.974495
-0.936345,-0.693977,-0.789706,-0.613485,0.431074,0.181302,0.043547,0.245443,0.026112,0.031468,-0.048637,-0.012593,0.233549,0.120083,-0.976383
0.12949,0.672392,0.352209,-0.935921,0.712677,0.29793,0.696517,0.414709,0.482978,0.075087,0.024768,0.035779,0.127389,-0.274082,-1.0
0.887691,0.930749,-0.227038,-0.973886,0.126921,-0.435611,0.382456,0.451685,0.046857,-0.141637,0.04253,0.13156,-0.145383,-0.288785,-1.0
-0.813559,0.296175,-0.579458,-0.815002,-0.561079,-0.397269,0.754622,0.741106,-0.439412,-0.354271,-0.02122,0.050026,0.030065,-0.302363,-1.0
-0.67422,0.282355,0.487119,0.873336,-0.332072,0.402999,0.383879,0.534705,-0.150938,0.154532,-0.0324,-0.093005,0.242189,0.177142,-0.965795
0.401934,0.280327,-0.634942,0.77256,-0.59097,-0.071455,0.237738,0.877123,-0.175308,0.043903,0.155927,0.04523,-0.256224,0.015661,-1.0
-0.913971,-0.848253,-0.046301,0.998928,0.674177,-0.713995,0.132198,0.320489,0.079381,-0.094096,-0.02362,0.020625,0.229572,0.196284,-0.985751
-0.947239,0.151409,-0.461111,-0.887343,0.490377,0.709159,0.098703,0.239347,0.076819,0.040033,-0.016964,0.034306,0.232935,-0.028678,-1.0
0.792341,-0.811771,0.379267,0.925287,0.214166,-0.105141,0.190856,0.08495,0.054018,-0.003514,0.007879,0.028349,-0.086709,0.353067,-0.995781
0.921802,-0.269947,0.607005,-0.794698,0.277277,0.277341,0.223609,0.993704,0.028012,0.073506,0.098724,-0.291143,-0.252924,0.194995,-1.0
-0.491549,-0.728901,-0.999731,0.023193,0.349081,0.389438,0.36562,0.070846,0.078177,0.165765,0.040651,0.003396,0.078376,0.224519,-1.0
0.684532,-0.473017,0.886775,0.462201,-0.310781,0.609712,0.497966,0.451042,-0.022985,0.269133,0.025141,-0.024162,-0.076226,0.304367,-1.0
0.733036,0.507116,-0.735377,-0.677658,0.737094,-0.172474,0.782793,0.915983,0.505617,-0.281337,-0.004979,0.007385,-0.146941,-0.245342,-0.998064
-0.616427,-0.524701,-0.373658,-0.927567,0.262085,0.333876,0.985671,0.820046,0.346932,0.31343,-0.014117,-0.021682,0.227633,0.12355,-1.0
-0.906625,-0.102667,0.745033,0.667028,-0.516396,0.871368,0.657453,0.216455,-0.193013,0.60869,-0.041965,0.018428,0.250956,0.173386,-0.991913
-0.082602,-0.513169,0.356471,-0.934306,0.947302,-0.59847,0.856842,0.829183,0.735314,-0.472462,0.037014,-0.002298,0.285307,-0.089364,-0.970057
-0.384932,0.818514,0.908726,-0.417394,0.507208,0.313606,0.323781,0.818781,0.241626,0.036144,-0.117635,0.033159,0.282422,-0.103021,-1.0
0.182975,0.032368,-0.979561,0.201149,-0.183631,0.781829,0.520877,0.591849,-0.154741,0.402267,0.034277,-0.028476,-0.232412,0.12161,-0.994914
0.818306,-0.967167,0.811769,-0.583978,-0.388611,-0.012923,0.928222,0.345936,-0.331519,-0.088489,-0.030236,0.055625,-0.310498,0.196168,-0.998544
0.345227,0.625474,0.307118,0.951671,0.701,0.744236,0.562354,0.783489,0.357853,0.410555,0.021047,0.011858,0.152201,0.224854,-1.0
-0.237739,-0.317384,0.641775,0.766893,-0.608354,-0.593273,0.709524,0.579094,-0.429585,-0.440074,-0.008107,0.023242,0.122425,0.276995,-1.0
-0.332229,0.255756,0.570716,0.821147,-0.11805,-0.262094,0.453447,0.513762,-0.061658,-0.163211,-0.024775,0.097981,0.260665,-0.21772,-1.0
0.735707,-0.769656,0.512286,-0.858815,-0.376468,0.506851,0.365958,0.16327,-0.109726,0.165173,-0.020432,-0.052963,-0.166107,0.247818,-0.984237
0.139261,0.038962,0.99605,0.088793,-0.900922,-0.619347,0.955816,0.012905,-0.702112,-0.578371,-0.016676,-0.019068,-0.073096,-0.343839,-1.0
-0.163498,-0.121368,0.05842,0.998292,-0.128539,0.032591,0.577297,0.375331,-0.056761,0.031404,0.082942,-0.002968,-0.089979,0.269171,-1.0
0.766714,0.009352,0.710169,-0.704031,-0.111303,0.858908,0.180778,0.974845,0.004403,0.192535,0.056411,-0.035756,-0.262823,0.021305,-1.0
-0.409908,-0.97487,-0.810315,-0.585995,0.744188,-0.491859,0.351257,0.903498,0.141812,-0.16387,-0.035244,-0.046325,0.215739,0.202545,-0.973816
-0.160034,-0.878932,0.775385,0.631488,0.835563,-0.463454,0.200485,0.481673,0.162914,-0.048009,0.034349,-0.010754,0.196133,0.212625,-1.0
0.072151,-0.515027,-0.213029,0.977046,0.561503,0.22439,0.973461,0.242713,0.475856,0.295634,-0.039145,0.009111,0.086327,0.304388,-1.0
-0.585247,0.021486,0.973899,-0.226982,0.38892,0.230369,0.379036,0.269441,0.089484,0.059601,-0.036211,-0.05203,0.307794,0.0202,-0.979526
