# in_press_x,in_press_y,in_target_x,in_target_y,in_flow_x,in_flow_y,in_importance,in_crowdedness,out_grow_x,out_grow_y,out_prune_x,out_prune_y,out_shift_x,out_shift_y,out_apoptosis
0.704556,0.278628,-0.635198,-0.77235,0.70128,0.265845,0.570055,0.207281,0.297102,-0.07674,-0.06333,-0.00761,-0.16216,-0.137939,-0.968752
0.621108,-0.688601,0.990661,0.136349,0.193938,0.916536,0.36176,0.776082,0.088065,0.1672,-0.035032,-0.059185,0.006812,0.199624,-1.0
-0.252583,0.01171,0.436729,-0.899593,0.156784,-0.462951,0.261202,0.436851,0.018776,-0.100058,-0.017549,0.096853,0.186314,-0.196013,-0.979265
-0.356332,0.622431,0.333974,0.942582,-0.971081,-0.807667,0.587563,0.261855,-0.277252,-0.087715,0.067181,-0.017021,0.010435,-0.170206,-0.958512
-0.485422,0.226167,0.537304,0.843389,0.060229,0.683955,0.170073,0.624838,0.035126,0.070558,0.020105,-0.146666,0.159831,0.139597,-1.0
0.662353,0.065237,0.549375,-0.835576,0.122703,0.251093,0.947175,0.547179,0.444816,-0.162306,0.006986,0.010274,-0.134493,-0.14917,-0.976982
-0.636066,0.678308,-0.999971,-0.007578,-0.908844,0.898142,0.062368,0.18968,-0.031646,0.032813,0.112014,-0.096068,-0.17671,-0.150261,-1.0
-0.95147,0.543973,-0.05721,0.998362,0.979258,0.71556,0.497867,0.009753,0.12985,0.163756,0.001035,-0.038485,0.161114,0.008874,-0.990643
0.064032,0.481592,0.697963,-0.716134,-0.670179,-0.584562,0.841022,0.519938,-0.13464,-0.38665,-0.005777,0.030723,0.021145,-0.198129,-0.976714
-0.317061,0.888861,-0.917276,-0.398252,0.669911,-0.358984,0.704993,0.076783,0.130288,-0.336096,-0.008254,0.017078,0.034762,-0.203278,-1.0
0.711043,0.145062,-0.236524,-0.971626,-0.058276,-0.362833,0.741483,0.557793,-0.067536,-0.382007,-0.010768,0.02841,-0.143787,-0.11139,-0.967895
0.483066,0.120917,-0.672378,-0.740208,-0.22113,0.840018,0.093147,0.234997,-0.045816,0.032449,0.063465,-0.059744,-0.172995,-0.000791,-0.980886
-0.326187,0.617086,0.777698,-0.628639,-0.762976,-0.807409,0.355879,0.767667,-0.043854,-0.160858,0.065233,0.099188,0.069743,-0.182617,-0.986404
0.40186,-0.727609,0.954258,0.298985,0.692558,-0.729019,0.331544,0.194378,0.147284,-0.056997,-0.064259,0.071015,0.148804,0.169524,-1.0
0.496971,-0.713472,-0.441916,-0.897057,0.422584,0.074376,0.832237,0.432284,0.200526,-0.365079,-0.002026,0.028906,-0.185723,0.080809,-1.0
0.430264,0.685463,-0.708658,-0.705552,0.137511,-0.590871,0.415163,0.668481,-0.039064,-0.204687,0.007492,0.058429,-0.039323,-0.16986,-1.0
-0.039852,0.466476,-0.633475,0.773763,-0.921258,0.057328,0.067803,0.076288,-0.027554,-0.004057,0.125168,-0.088069,-0.228335,-0.019018,-0.966581
-0.906401,-0.912338,-0.661265,-0.750152,-0.066403,-0.057014,0.350302,0.550088,-0.114425,-0.159366,0.045769,0.080031,0.124262,0.141611,-1.0
-0.542209,0.288865,-0.992635,-0.121146,-0.040309,-0.615773,0.819458,0.312518,-0.233377,-0.323629,-0.012969,0.000151,-0.012534,-0.185052,-0.991615
0.296927,-0.726084,0.871244,0.49085,-0.762042,-0.86917,0.876436,0.223862,-0.208562,-0.413977,-0.020491,0.007132,-0.094824,0.190697,-1.0
0.352954,-0.506176,-0.999985,0.005455,-0.706942,-0.938822,0.218713,0.54955,-0.090527,-0.053075,0.062966,0.084861,-0.203609,0.004325,-0.994015
0.52519,0.687405,-0.451161,0.892443,0.913398,0.929162,0.206951,0.738873,0.019763,0.069276,-0.063612,-0.099656,-0.197393,0.109955,-0.995765
0.670277,-0.818077,0.831535,-0.555473,-0.516269,-0.99167,0.895618,0.873236,-0.034118,-0.446677,-0.010749,-0.034333,-0.231256,0.03227,-0.998845
0.376712,0.444227,-0.625053,0.780583,0.870904,0.649575,0.974238,0.426007,0.239268,0.457486,0.004698,0.028266,-0.156045,0.143082,-0.96659
-0.788559,-0.96828,0.138284,0.990393,-0.953597,0.113548,0.77685,0.089506,-0.300938,0.207683,0.012411,-0.021802,0.065386,0.198329,-1.0
0.361448,0.842679,-0.583437,0.812158,-0.290189,0.548119,0.136889,0.939209,-0.047661,0.075878,0.047777,-0.122981,-0.180098,-0.09266,-1.0
-0.600922,-0.511836,0.14201,0.989865,0.293987,-0.81474,0.481896,0.486233,0.188622,-0.143374,-0.014051,0.046257,0.182097,0.106847,-1.0
0.487401,0.420757,-0.417087,-0.908866,0.008763,0.572494,0.791969,0.804515,-0.33111,0.211447,-0.012182,0.005011,-0.153843,-0.140792,-0.999486
0.821548,0.91431,-0.87935,-0.476176,0.541276,0.999733,0.012731,0.434151,-0.00411,0.004774,-0.062391,-0.147793,-0.168429,-0.131516,-0.984805
0.390344,0.767868,0.677823,0.735225,0.029718,0.883804,0.045303,0.854206,-0.006275,0.025459,-0.052398,-0.106237,-0.145175,0.121699,-0.991597
-0.803953,-0.312822,0.201145,-0.979561,0.176926,0.280961,0.690892,0.694335,0.289743,-0.201658,-0.004308,0.010714,0.210559,0.001638,-0.985698
-0.647882,0.200151,0.661655,-0.749809,0.683861,-0.180737,0.888071,0.249554,0.367066,-0.218753,0.013436,0.013859,0.177381,-0.100398,-1.0
-0.402973,0.226227,-0.249923,-0.968266,0.512648,-0.360568,0.921634,0.569677,0.231051,-0.434318,0.016113,-0.001367,0.089796,-0.149431,-0.970208
0.554396,-0.554424,0.392735,0.919652,-0.214393,0.79705,0.161742,0.514809,0.010164,0.119857,-0.011706,-0.128783,-0.084913,0.18216,-0.972832
0.214636,-0.64808,-0.544241,0.838929,-0.26048,0.108204,0.788434,0.056601,-0.316607,0.27138,0.000199,0.014037,-0.090041,0.170699,-1.0
-0.588214,-0.538731,-0.076334,0.997082,-0.93708,-0.779219,0.82656,0.604312,-0.415056,-0.110714,-0.034339,0.010987,0.029673,0.189786,-0.982409
-0.619215,-0.846101,0.944513,0.328474,-0.375752,0.426288,0.191655,0.105408,0.012959,0.079778,0.072511,-0.064944,0.10532,0.147275,-0.976323
-0.718461,-0.271689,0.881284,0.472587,-0.571811,-0.810251,0.565615,0.385519,-0.053799,-0.286966,0.019371,0.058006,0.209439,-0.001623,-0.99216
-0.391485,-0.317285,-0.89172,-0.452588,0.54446,-0.38558,0.690471,0.909505,0.035099,-0.335015,-0.011452,0.033522,0.180908,-0.084135,-0.987334
0.772058,0.370844,-0.923347,0.383966,0.832596,0.486227,0.769072,0.375514,0.189337,0.358996,-0.027773,-0.031408,-0.208759,0.039974,-0.989517
