# in_press_x,in_press_y,in_target_x,in_target_y,in_flow_x,in_flow_y,in_importance,in_crowdedness,out_grow_x,out_grow_y,out_prune_x,out_prune_y,out_shift_x,out_shift_y,out_apoptosis
-0.608287,0.810608,0.580418,-0.814319,0.098668,0.82182,0.997406,0.535531,0.06054,0.318898,0.022673,-0.002065,0.156811,-0.095512,-0.975666
0.193193,0.567785,-0.98359,-0.180418,0.16413,0.307661,0.444595,0.641699,0.102522,0.2338,-0.066475,-0.017367,-0.240547,-0.078511,-1.0
0.030533,-0.409001,-0.405351,-0.914161,-0.058439,-0.535169,0.803891,0.912379,-0.00215,-0.261229,-0.061728,-0.01532,-0.076349,-0.178209,-1.0
-0.544438,-0.687406,-0.804595,-0.593824,-0.698985,-0.406583,0.317166,0.170914,-0.647671,-0.422843,0.022452,-0.009515,-0.133708,0.087465,-0.975555
0.064512,0.647546,0.537243,-0.843428,0.891963,-0.263554,0.995198,0.393708,0.320125,-0.140913,-0.008,0.039524,0.090037,-0.183678,-0.992639
0.07369,0.869774,0.744137,-0.668026,-0.598353,0.528983,0.53143,0.07489,-0.327613,0.31809,-0.016862,0.066427,-0.000186,-0.211026,-1.0
-0.660796,0.942794,0.596153,-0.802871,0.92876,-0.622237,0.010637,0.172122,0.831054,-0.594401,0.074954,0.010762,0.153962,-0.096498,-0.96886
-0.166583,-0.084538,-0.119995,0.992775,0.799091,0.036052,0.439425,0.388589,0.536728,0.090763,-0.021305,0.011716,0.18517,0.160839,-0.991271
-0.810148,-0.216931,-0.418002,0.908446,0.195772,-0.09281,0.177963,0.685317,0.275546,-0.093581,-0.509087,0.025507,0.230859,0.095207,-1.0
-0.920347,-0.38113,0.207548,0.978225,0.857349,-0.118326,0.370658,0.763623,0.738433,0.073177,-0.055896,-0.031119,0.097653,0.151717,-1.0
-0.68242,0.332207,-0.511051,0.85955,0.743132,0.82025,0.12394,0.490111,0.627582,0.856242,-0.00097,0.072726,0.117651,0.105104,-0.994002
0.121269,-0.21703,-0.315462,0.948938,0.962313,-0.287348,0.558182,0.759515,0.614735,-0.118732,0.009416,0.023355,0.1095,0.178896,-1.0
-0.498463,-0.378744,-0.45006,0.892998,0.653477,-0.224255,0.910334,0.775581,0.284674,-0.087406,-0.04926,-0.009214,0.170532,0.136709,-0.998674
-0.037091,-0.908739,0.999935,0.011434,-0.692006,-0.576989,0.74524,0.276664,-0.289349,-0.273596,-0.028358,-0.053365,0.014078,0.197748,-1.0
0.976395,-0.391999,0.970763,0.240041,-0.09726,-0.780691,0.296998,0.718643,0.067266,-0.771277,-0.062969,0.013189,-0.177986,-0.052228,-1.0
0.296223,-0.850021,0.303231,0.952917,-0.396794,0.730165,0.63486,0.480257,-0.182836,0.43122,0.024023,0.012456,-0.041536,0.174528,-0.932841
-0.994535,-0.519438,-0.721359,0.692561,0.507197,-0.753884,0.291881,0.903451,0.488961,-0.755323,0.021323,0.020199,0.208432,0.105923,-0.990852
0.359086,0.132263,-0.970681,0.24037,-0.58203,-0.037286,0.351751,0.973287,-0.53415,0.018964,0.029728,-0.051927,-0.206652,-0.005463,-0.962311
0.568062,0.07974,-0.550536,-0.834812,-0.182561,0.843972,0.569432,0.318129,-0.190052,0.547812,0.006143,-0.040242,-0.145286,-0.00812,-0.967395
-0.389414,0.697129,-0.340542,0.940229,-0.962557,-0.057289,0.733416,0.325392,-0.47909,0.045102,0.008496,-0.004052,-0.158223,-0.106082,-1.0
-0.512869,-0.894556,-0.175798,-0.984426,0.959956,0.682843,0.664423,0.05729,0.439431,0.176058,-0.037979,0.02957,0.112922,0.113419,-1.0
0.726939,0.274744,-0.624166,-0.781292,-0.966325,-0.7524,0.77269,0.753159,-0.382825,-0.315376,0.019147,-0.036678,-0.231189,-0.150643,-1.0
-0.061713,0.031215,-0.960171,-0.279414,-0.578436,0.828928,0.081845,0.182504,-0.674017,0.702176,0.033131,-0.015684,-0.195011,0.030786,-0.965653
0.913755,0.127667,-0.506216,-0.862407,-0.397818,-0.53414,0.301664,0.899789,-0.40461,-0.539118,0.01561,-0.022765,-0.202396,-0.130744,-1.0
