# in_press_x,in_press_y,in_target_x,in_target_y,in_flow_x,in_flow_y,in_importance,in_crowdedness,out_grow_x,out_grow_y,out_prune_x,out_prune_y,out_shift_x,out_shift_y,out_apoptosis
-0.143258,-0.660621,0.901375,0.433039,-0.283329,0.862904,0.114355,0.425388,-0.1377,1.0,-0.026865,0.037759,0.003221,0.220789,-0.988356
-0.376264,-0.688549,0.127377,-0.991854,-0.073519,0.444769,0.797333,0.44836,-0.0926,0.481099,-0.003525,-0.070913,0.072676,0.186077,-0.99328
0.35849,0.357282,-0.370811,-0.928708,0.137769,0.738384,0.957526,0.570803,0.123481,0.738069,-0.016338,0.011401,-0.177946,-0.078224,-0.993104
0.783554,0.096967,0.772699,-0.634773,-0.076697,0.071642,0.994553,0.600038,-0.084731,0.106391,0.042915,0.025416,-0.225191,0.004174,-0.958717
0.61945,-0.214603,0.212991,0.977054,-0.359861,0.358392,0.183363,0.680348,-0.456984,0.622907,0.089156,-0.019662,-0.116509,0.144342,-1.0
-0.418754,0.894692,-0.010717,-0.999943,0.444175,-0.854292,0.480905,0.405259,0.418819,-0.869952,0.028223,0.00591,0.080603,-0.220829,-0.963711
0.476946,0.239713,-0.999184,0.040397,0.119182,0.35425,0.096086,0.318406,0.07247,0.748049,-0.024678,0.039223,-0.218906,0.082218,-1.0
0.265789,-0.47644,0.597373,-0.801964,-0.532943,-0.018346,0.690793,0.960305,-0.559783,-0.071999,0.072308,-0.087434,-0.200044,0.001918,-1.0
0.224148,-0.028498,-0.988543,0.150942,0.395069,-0.220511,0.681049,0.368429,0.388806,-0.23373,-0.020845,0.004843,-0.159048,-0.049493,-1.0
-0.948855,0.073646,0.658743,-0.752368,0.701139,-0.840024,0.806607,0.744696,0.611573,-0.712862,0.021287,-0.004726,0.215955,-0.077902,-0.992305
-0.457617,0.475915,-0.990976,0.134038,-0.925468,0.659387,0.814078,0.443034,-0.82027,0.50601,0.010933,0.019153,-0.255087,-0.058527,-0.951425
0.402871,0.162843,0.430656,0.902516,0.874425,-0.871835,0.128479,0.592884,0.852469,-0.56862,-0.021487,-0.000208,0.216882,-0.042809,-0.968096
0.066405,-0.212873,-0.806831,0.590783,0.19777,0.972849,0.177706,0.280247,-0.025457,1.0,-0.029778,-0.027849,-0.021906,0.214682,-0.969046
0.455815,0.125571,-0.714228,0.699913,-0.469163,-0.998108,0.162958,0.9071,-0.617351,-0.81536,0.010548,-0.023745,-0.172536,-0.031176,-1.0
-0.843825,-0.98479,0.084577,0.996417,0.261052,-0.645486,0.933034,0.534591,0.384908,-0.601106,0.016871,-0.0017,0.158389,0.147501,-1.0
0.766565,-0.136824,-0.904949,0.42552,-0.91638,-0.97525,0.252985,0.673642,-0.845096,-0.565208,0.026408,-0.052301,-0.217024,0.012956,-1.0
-0.424274,0.22903,0.975266,-0.221033,-0.340697,-0.138354,0.343077,0.270884,-0.295191,-0.222079,-0.001903,0.022094,0.082685,-0.105917,-1.0
-0.063617,0.924632,0.899533,0.436852,-0.93536,-0.542379,0.237827,0.249131,-0.891886,-0.504983,0.009279,0.031792,0.024211,-0.182421,-0.955741
0.588343,0.267917,-0.836596,0.547821,0.829195,0.344574,0.402925,0.117353,0.676143,0.540367,-0.013273,-0.003429,-0.159572,0.049446,-1.0
-0.228198,-0.281127,0.964126,-0.265444,-0.767658,0.965183,0.768407,0.308475,-0.534777,0.848583,0.006935,0.020236,0.077129,0.144159,-0.994855
0.757037,0.846123,0.676308,0.736619,0.665371,-0.347761,0.301442,0.246998,0.722094,-0.25152,0.07784,-0.032371,0.007655,-0.197398,-0.967556
0.260692,0.142296,0.894916,0.446234,-0.609649,0.943357,0.610585,0.055484,-0.390636,0.89345,0.028997,-0.025292,-0.035429,0.221109,-1.0
0.11185,-0.902259,-0.398496,-0.91717,0.314908,-0.865458,0.167177,0.111481,0.2262,-0.921146,0.082477,-0.015734,-0.206426,-0.029863,-1.0
-0.985763,0.222732,-0.559573,0.828781,0.730654,0.177212,0.467837,0.318954,0.711458,0.344775,-0.011559,0.004639,0.176319,0.095832,-1.0
0.728718,-0.564629,-0.448744,0.89366,0.208893,-0.89471,0.536608,0.804099,0.206019,-0.868925,-0.028713,-0.028495,-0.192779,0.1172,-0.964559
-0.821418,-0.462469,0.897576,0.440859,0.337303,-0.649328,0.92347,0.562826,0.424843,-0.584941,0.028809,0.031734,0.200201,0.030185,-0.992093
0.151186,-0.690125,-0.504432,0.863452,-0.927046,0.401897,0.822166,0.213609,-0.824972,0.490576,-0.005109,-0.03418,-0.150597,0.214004,-1.0
-0.778484,0.181975,-0.647497,0.762068,-0.999097,0.755846,0.32861,0.018469,-0.78308,0.616634,-0.05609,0.008918,-0.000474,0.183458,-0.998241
