# in_press_x,in_press_y,in_target_x,in_target_y,in_flow_x,in_flow_y,in_importance,in_crowdedness,out_grow_x,out_grow_y,out_prune_x,out_prune_y,out_shift_x,out_shift_y,out_apoptosis
-0.606111,0.435729,0.541502,-0.8407,0.185837,0.08632,0.952349,0.339981,0.493399,0.123207,-0.015928,-0.006808,0.203048,-0.075242,-1.0
-0.538185,0.856011,0.914205,-0.405253,0.232049,0.431979,0.102023,0.036363,0.47833,0.637877,0.020514,-0.005974,0.169085,-0.091651,-1.0
0.095753,-0.39598,0.442162,-0.896935,0.275815,0.292436,0.621243,0.45959,0.634599,0.445295,0.0037,0.024978,0.164076,0.106932,-0.993218
0.601216,-0.78824,-0.958462,0.285222,-0.027543,0.998432,0.819575,0.118433,-0.169593,0.783091,-0.032169,-0.001218,-0.147745,0.179893,-0.998068
-0.975676,0.845511,0.192138,0.981368,-0.824469,-0.289747,0.291244,0.336979,-0.805821,-0.098596,0.015189,0.011388,0.15904,-0.119364,-0.983394
-0.329519,0.381941,0.160842,-0.98698,0.91973,-0.858015,0.691808,0.454951,0.507313,-0.602106,0.014425,0.029743,0.073605,-0.125349,-0.98553
0.610574,-0.805035,-0.178813,-0.983883,-0.738156,-0.863312,0.697782,0.802594,-0.484743,-0.660968,-0.018526,0.012886,-0.203982,-0.017818,-1.0
-0.416043,-0.984539,0.234092,0.972214,0.725175,-0.841202,0.091591,0.032087,0.585946,-0.509628,-0.008366,0.003007,0.12513,0.155827,-0.985858
-0.833675,0.338832,0.462115,-0.88682,0.166114,0.68046,0.859516,0.010498,0.282542,0.759569,-0.013209,0.045787,0.178354,-0.060917,-1.0
0.43302,0.576687,-0.812706,-0.582674,0.391979,0.625328,0.623439,0.497009,0.356186,0.71363,0.028339,-0.010224,-0.119403,-0.086364,-1.0
-0.276416,0.516104,0.891623,-0.452778,-0.508501,-0.436038,0.381345,0.772213,-0.51258,-0.660857,-0.011356,0.019556,0.026018,-0.173443,-1.0
0.943036,0.688396,0.938508,-0.345257,-0.812685,0.484999,0.749777,0.761746,-0.679494,0.446551,-0.015694,0.010975,-0.184094,-0.119663,-0.997477
0.884398,0.511374,-0.06283,0.998024,-0.051443,0.218891,0.94601,0.905541,-0.110912,0.52537,0.039363,-0.024242,-0.175371,0.055267,-0.959231
0.953368,0.505975,0.607541,0.794289,-0.573626,0.454425,0.287896,0.772052,-0.548962,0.632557,-0.014761,0.028486,-0.192193,0.042496,-1.0
-0.883235,0.396997,0.443093,-0.896475,-0.532821,0.439953,0.403717,0.860006,-0.641742,0.405816,0.016018,0.0293,0.146022,-0.121892,-1.0
-0.343085,0.480242,0.899305,0.437321,-0.131826,-0.069744,0.873095,0.543044,-0.316644,-0.155091,0.037462,0.057658,0.153308,-0.170423,-0.993709
0.062784,-0.288198,0.57171,0.820456,-0.681013,-0.278947,0.172116,0.947979,-0.777539,-0.212648,-0.027922,-0.013161,-0.070894,0.177562,-0.970549
0.689361,0.856478,-0.891328,0.453358,0.748213,-0.503271,0.109944,0.865892,0.661616,-0.503837,-0.034293,-0.006689,-0.135415,-0.167257,-0.971768
-0.994561,0.347158,0.479894,-0.877327,-0.058216,0.125823,0.278628,0.599125,-0.113012,0.310237,-0.187661,-0.175322,0.224992,-0.045929,-1.0
0.231127,-0.135625,-0.794403,0.607392,-0.012988,0.870051,0.332095,0.291319,-0.136023,0.798525,-0.010698,0.009683,-0.118267,0.169482,-0.992345
-0.542786,0.236939,0.589261,-0.807943,0.14784,0.068112,0.806035,0.20982,0.35647,0.089888,-0.061229,0.009259,0.192623,-0.043864,-1.0
-0.840121,0.209283,-0.594608,-0.804016,-0.88415,0.607064,0.058971,0.402684,-0.74632,0.324543,0.032825,-0.046792,0.044162,-0.182914,-0.986165
0.513074,-0.009972,0.420888,0.907113,0.976518,0.57885,0.356528,0.674595,0.636622,0.50042,0.001638,0.008897,0.023761,0.18575,-0.994226
-0.66978,-0.551652,-0.627528,0.778594,-0.68291,-0.184613,0.826082,0.056275,-0.754784,-0.07972,-0.001826,0.002597,-0.062914,0.162896,-1.0
