# in_press_x,in_press_y,in_target_x,in_target_y,in_flow_x,in_flow_y,in_importance,in_crowdedness,out_grow_x,out_grow_y,out_prune_x,out_prune_y,out_shift_x,out_shift_y,out_apoptosis
-0.569889,-0.82633,-0.353187,0.935553,0.873437,0.773519,0.209479,0.653958,0.000206,-0.005672,0.014479,0.003956,-0.000802,0.00974,-1.0
-0.594355,-0.885883,0.687725,0.725971,-0.773041,-0.348717,0.626823,0.296529,0.00114,-0.009845,0.004301,0.012278,-0.010741,0.009395,-0.993293
0.769636,0.786615,-0.999997,0.002263,-0.491475,-0.923746,0.539174,0.844854,-0.00161,-0.011299,-0.005453,0.002517,-0.012689,-0.008108,-0.999235
-0.208692,-0.043193,0.567858,-0.823127,-0.291944,-0.13237,0.388894,0.924806,0.004813,-0.00047,0.009052,0.000842,-0.000183,-0.007597,-1.0
0.469144,-0.865777,-0.497915,0.867226,0.18591,0.507112,0.583649,0.642196,-0.002665,0.004814,-0.001273,-0.006752,-0.007512,-0.00717,-0.999522
-0.089605,-0.52917,0.452995,0.891513,-0.975295,-0.361154,0.56188,0.129732,-0.010772,-0.013445,0.004433,-0.000987,-0.007915,-0.002206,-0.999822
-0.241881,0.158869,0.500913,0.865498,0.55378,-0.796631,0.758777,0.094419,-0.028689,0.000126,7.5e-05,0.015419,-0.002265,-0.003915,-1.0
-0.983224,-0.926794,0.880273,-0.474467,-0.049921,-0.275971,0.675205,0.052975,0.005849,-0.019308,-0.000565,0.010555,0.004934,-0.006064,-0.99444
-0.839929,0.080671,0.6837,-0.729763,0.834068,0.662171,0.562102,0.84835,0.012191,0.001344,-0.003738,0.001846,-0.008471,-0.007994,-1.0
0.166019,0.967106,-0.514257,0.857636,-0.772531,0.009578,0.344467,0.995357,-0.000103,0.004,-0.013648,0.014127,-0.00246,0.00338,-1.0
0.420517,0.976391,0.635836,0.771824,-0.377237,0.944262,0.3491,0.960511,0.015507,0.000874,-0.004071,-0.001044,-0.007219,-0.005412,-0.995137
0.145354,-0.34645,0.135568,0.990768,-0.391019,-0.25435,0.228398,0.410605,0.010105,0.005907,0.003024,-0.005761,0.020491,-0.003276,-0.991273
-0.688398,0.395409,-0.116467,0.993195,-0.790455,-0.308844,0.145958,0.77625,-0.015902,0.014699,-0.015137,-0.013998,0.017612,-0.001219,-1.0
-0.586368,-0.798821,-0.848543,-0.529126,-0.217389,-0.024311,0.49178,0.883929,0.002729,-0.018223,-0.002461,0.010519,-0.00445,-0.006022,-0.997751
0.950297,-0.261407,-0.588101,0.808787,0.538351,0.796372,0.37341,0.61928,-0.000545,0.007216,-0.009365,0.003299,-4.9e-05,0.0018,-0.986321
