seed,step
0,1138
1,696
1,928
1,1080
7,424
11,360
12,785
14,117
18,779
22,330
22,1002
27,753
29,61
33,634
35,765
36,942
37,319
44,1016
47,934
51,150
52,302
55,1102
64,828
68,350
71,1053
72,1039
74,746
83,763
84,428
88,587
89,105
89,187
89,343
92,524
93,619
93,795
99,139
106,323
107,916
109,75
111,988
112,735
115,83
118,323
120,1070
121,204
124,1020
130,844
133,1015
135,920
137,33
142,683
148,852
151,122
156,1005
163,1051
168,358
170,895
175,220
181,39
187,31
187,508
191,195
193,372
197,34
198,292
198,474
200,781
200,981
204,40
208,661
210,842
216,1141
217,349
217,482
217,531
217,577
222,1082
223,31
230,1072
245,422
248,409
257,17
258,424
262,965
274,280
274,823
274,849
284,1106
285,74
286,771
288,34
292,149
297,209
298,790
303,998
304,348
304,1096
305,963
307,1109
309,1036
313,354
313,686
320,832
321,640
325,307
330,528
331,881
333,815
334,1048
335,1122
338,971
340,844
342,433
344,1125
345,42
348,146
348,966
349,871
350,1086
352,1053
355,900
358,402
359,586
360,881
367,614
374,311
374,1074
376,389
381,253
383,90
384,437
386,998
387,433
388,242
388,335
388,453
388,583
389,182
391,738
392,362
393,794
396,42
398,663
402,1029
404,120
406,487
408,915
410,915
413,106
413,150
413,195
413,254
413,353
413,428
413,565
413,643
413,700
413,754
413,797
413,888
413,937
413,997
413,1063
414,1103
417,972
418,1011
419,701
421,799
423,916
427,414
428,1070
434,159
434,337
437,365
440,349
440,886
442,281
443,445
445,1006
447,1155
456,142
457,813
458,278
459,50
463,152
463,334
463,781
464,576
467,479
467,1173
473,1122
478,300
478,560
478,712
478,979
480,121
481,661
483,983
486,195
486,254
486,405
486,493
486,523
494,328
495,1124
499,730
501,310
505,857
507,666
509,874
