step,step_divided,persistent_count,persistent_ratio
0,0.0,512,1.0
1,0.06666666666666667,512,1.0
2,0.13333333333333333,512,1.0
3,0.2,512,1.0
4,0.26666666666666666,512,1.0
5,0.3333333333333333,512,1.0
6,0.4,512,1.0
7,0.4666666666666667,512,1.0
8,0.5333333333333333,512,1.0
9,0.6,512,1.0
10,0.6666666666666666,512,1.0
11,0.7333333333333333,512,1.0
12,0.8,512,1.0
13,0.8666666666666667,512,1.0
14,0.9333333333333333,512,1.0
15,1.0,512,1.0
16,1.0666666666666667,512,1.0
17,1.1333333333333333,511,0.998046875
18,1.2,511,0.998046875
19,1.2666666666666666,511,0.998046875
20,1.3333333333333333,511,0.998046875
21,1.4,511,0.998046875
22,1.4666666666666666,511,0.998046875
23,1.5333333333333334,511,0.998046875
24,1.6,511,0.998046875
25,1.6666666666666667,511,0.998046875
26,1.7333333333333334,511,0.998046875
27,1.8,511,0.998046875
28,1.8666666666666667,511,0.998046875
29,1.9333333333333333,511,0.998046875
30,2.0,511,0.998046875
31,2.066666666666667,509,0.994140625
32,2.1333333333333333,509,0.994140625
33,2.2,508,0.9921875
34,2.2666666666666666,506,0.98828125
35,2.3333333333333335,506,0.98828125
36,2.4,506,0.98828125
37,2.466666666666667,506,0.98828125
38,2.533333333333333,506,0.98828125
39,2.6,505,0.986328125
40,2.6666666666666665,504,0.984375
41,2.7333333333333334,504,0.984375
42,2.8,502,0.98046875
43,2.8666666666666667,502,0.98046875
44,2.933333333333333,502,0.98046875
45,3.0,502,0.98046875
46,3.066666666666667,502,0.98046875
47,3.1333333333333333,502,0.98046875
48,3.2,502,0.98046875
49,3.2666666666666666,502,0.98046875
50,3.3333333333333335,501,0.978515625
51,3.4,501,0.978515625
52,3.466666666666667,501,0.978515625
53,3.533333333333333,501,0.978515625
54,3.6,501,0.978515625
55,3.6666666666666665,501,0.978515625
56,3.7333333333333334,501,0.978515625
57,3.8,501,0.978515625
58,3.8666666666666667,501,0.978515625
59,3.933333333333333,501,0.978515625
60,4.0,501,0.978515625
61,4.066666666666666,500,0.9765625
62,4.133333333333334,500,0.9765625
63,4.2,500,0.9765625
64,4.266666666666667,500,0.9765625
65,4.333333333333333,500,0.9765625
66,4.4,500,0.9765625
67,4.466666666666667,500,0.9765625
68,4.533333333333333,500,0.9765625
69,4.6,500,0.9765625
70,4.666666666666667,500,0.9765625
71,4.733333333333333,500,0.9765625
72,4.8,500,0.9765625
73,4.866666666666666,500,0.9765625
74,4.933333333333334,499,0.974609375
75,5.0,498,0.97265625
76,5.066666666666666,498,0.97265625
77,5.133333333333334,498,0.97265625
78,5.2,498,0.97265625
79,5.266666666666667,498,0.97265625
80,5.333333333333333,498,0.97265625
81,5.4,498,0.97265625
82,5.466666666666667,498,0.97265625
83,5.533333333333333,497,0.970703125
84,5.6,497,0.970703125
85,5.666666666666667,497,0.970703125
86,5.733333333333333,497,0.970703125
87,5.8,497,0.970703125
88,5.866666666666666,497,0.970703125
89,5.933333333333334,497,0.970703125
90,6.0,496,0.96875
91,6.066666666666666,496,0.96875
92,6.133333333333334,496,0.96875
93,6.2,496,0.96875
94,6.266666666666667,496,0.96875
95,6.333333333333333,496,0.96875
96,6.4,496,0.96875
97,6.466666666666667,496,0.96875
98,6.533333333333333,496,0.96875
99,6.6,496,0.96875
100,6.666666666666667,496,0.96875
101,6.733333333333333,496,0.96875
102,6.8,496,0.96875
103,6.866666666666666,496,0.96875
104,6.933333333333334,496,0.96875
105,7.0,495,0.966796875
106,7.066666666666666,494,0.96484375
107,7.133333333333334,494,0.96484375
108,7.2,494,0.96484375
109,7.266666666666667,494,0.96484375
110,7.333333333333333,494,0.96484375
111,7.4,494,0.96484375
112,7.466666666666667,494,0.96484375
113,7.533333333333333,494,0.96484375
114,7.6,494,0.96484375
115,7.666666666666667,494,0.96484375
116,7.733333333333333,494,0.96484375
117,7.8,493,0.962890625
118,7.866666666666666,493,0.962890625
119,7.933333333333334,493,0.962890625
120,8.0,492,0.9609375
121,8.066666666666666,491,0.958984375
122,8.133333333333333,490,0.95703125
123,8.2,490,0.95703125
124,8.266666666666667,490,0.95703125
125,8.333333333333334,490,0.95703125
126,8.4,490,0.95703125
127,8.466666666666667,490,0.95703125
128,8.533333333333333,490,0.95703125
129,8.6,490,0.95703125
130,8.666666666666666,490,0.95703125
131,8.733333333333333,490,0.95703125
132,8.8,490,0.95703125
