seed,num_steps,connected_steps,connected_ratio,ever_connected,first_connected_step,last_connected_step,num_disappear_events,first_disappear_step,final_connected,final_node_count,persistent_after_first_connection,persistent_threshold_step,always_connected
0,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
2,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
3,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
5,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
6,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
8,1201,1201,1.0,1,0,1200,0,,1,24,1,1075,1
9,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
10,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
12,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
13,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
15,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
16,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
18,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
19,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
20,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
21,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
23,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
24,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
25,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
26,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
28,1201,1201,1.0,1,0,1200,0,,1,14,1,1075,1
30,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
31,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
32,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
34,1201,1201,1.0,1,0,1200,0,,1,10,1,1075,1
36,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
38,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
39,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
40,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
41,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
42,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
43,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
44,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
45,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
48,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
50,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
53,1201,1195,0.9950041631973355,1,0,1194,1,1195,0,21,1,1075,0
54,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
55,1201,1113,0.9267277268942548,1,0,1112,1,1113,0,18,1,1075,0
56,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
57,1201,1201,1.0,1,0,1200,0,,1,11,1,1075,1
58,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
59,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
60,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
61,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
62,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
63,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
65,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
66,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
67,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
70,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
71,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
72,1201,1085,0.9034138218151541,1,0,1084,1,1085,0,20,1,1075,0
73,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
75,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
77,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
78,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
79,1201,1201,1.0,1,0,1200,0,,1,13,1,1075,1
80,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
81,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
82,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
85,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
86,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
87,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
91,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
94,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
95,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
96,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
97,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
98,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
100,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
102,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
104,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
105,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
107,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
108,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
110,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
111,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
113,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
114,1201,1137,0.9467110741049126,1,0,1136,1,1137,0,19,1,1075,0
115,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
116,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
117,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
119,1201,1201,1.0,1,0,1200,0,,1,17,1,1075,1
120,1201,1201,1.0,1,0,1200,0,,1,9,1,1075,1
121,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
122,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
123,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
125,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
127,1201,1201,1.0,1,0,1200,0,,1,20,1,1075,1
