# in_press_x,in_press_y,in_target_x,in_target_y,in_flow_x,in_flow_y,in_importance,in_crowdedness,out_grow_x,out_grow_y,out_prune_x,out_prune_y,out_shift_x,out_shift_y,out_apoptosis
0.756801,-0.655068,0.515116,-0.85712,0.885194,-0.242082,0.67072,0.5422,-0.857639,-0.556011,-0.478468,0.949451,1.0,-0.451103,-1.0
-0.114298,0.085335,0.293899,-0.955836,0.035436,0.614997,0.855741,0.024726,0.458451,-1.0,-0.449147,1.0,-0.277871,0.839503,-1.0
-0.872183,0.597007,0.266387,-0.963866,0.547967,0.082162,0.919149,0.670737,0.352153,-0.938647,-0.161049,0.759194,-0.565558,0.677889,-1.0
-0.095006,-0.161161,0.513223,-0.858256,-0.505531,0.935743,0.258622,0.158765,0.691089,-0.452855,-0.458813,0.632381,-0.692554,0.738627,-0.69792
0.610365,-0.819347,0.540241,0.841511,-0.472065,0.05947,0.867754,0.817897,-0.064849,0.992559,-0.571668,-0.827169,-0.025012,-1.0,-0.752369
-0.548535,-0.569074,-0.916918,-0.399075,-0.931827,0.438205,0.390514,0.454256,-0.871268,0.73067,0.622824,0.77508,-1.0,-0.320525,-0.574587
0.867516,-0.443196,0.720764,0.69318,-0.797311,-0.916571,0.189706,0.710186,-0.24914,1.0,-0.774804,-0.364807,0.116238,-1.0,0.091336
-0.852997,0.458883,0.507623,0.861579,0.155489,-0.409403,0.526799,0.44692,1.0,0.066071,-0.758202,-0.859055,-0.977879,-0.13411,-0.566194
0.019446,0.06015,-0.569948,-0.821681,0.591185,-0.894359,0.060187,0.521752,-0.199691,-1.0,0.401346,0.620143,0.578271,-0.866464,0.19515
0.74182,-0.611174,-0.86194,0.507011,-0.245674,0.37929,0.72168,0.63249,-0.706006,0.666911,0.922777,-0.429419,0.765536,-0.472918,-0.960705
-0.35927,0.379919,-0.180891,-0.983503,-0.286193,0.829879,0.895269,0.645762,0.138075,-0.949922,-0.063996,0.976618,-0.417428,0.802036,-1.0
-0.515008,0.176269,0.015289,-0.999883,-0.236453,-0.379813,0.834345,0.925758,0.295037,-0.918395,-0.330883,1.0,-0.833384,-0.205845,-0.863423
-0.002918,-0.90044,-0.843431,0.537238,-0.301083,-0.171634,0.100889,0.25815,-0.735306,0.746944,0.871553,-0.577029,-0.04434,-0.916799,0.031727
0.936935,-0.702685,-0.185564,0.982632,0.029594,0.955114,0.175301,0.017234,-0.82679,0.929487,0.010954,-0.891541,1.0,0.345775,-0.310427
0.579709,-0.45272,-0.657066,-0.753833,-0.761492,0.917563,0.650779,0.926725,-1.0,-0.513405,0.902807,1.0,-0.297463,1.0,-0.819323
-0.724493,0.447766,0.934343,-0.356375,0.371391,0.525392,0.726052,0.051524,1.0,-0.609199,-0.891815,0.33908,-0.432939,1.0,-0.845348
